ABSL ETF,ABSL Nifty50,Franklin India,HDFC Index,ICICI ETF,ICICI Nifty,IDBI Nifty,IDFC ETF,IDFC Nifty,LIC MF,Nippon,SBI Nifty,Tata Index,Taurus Nifty,UTI ETF,UTI Nifty,Nifty 50
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.0117017,-0.01193,-0.011794009,-0.011823657,0.000407556,-0.012222978,-0.011838669,-0.001246209,-0.001263113,-0.011488701,-0.01187835,-0.011748713,-0.011812135,-0.011793544,-0.005886597,-0.011782234,-0.013044228
0.001429388,0.001563,0.001489361,0.00146034,0.001352045,-0.001141513,0.001442904,0.000153064,0.000155369,0.00139803,0.001432939,0.00147348,0.001440834,0.001430422,0.009241644,0.001436274,0.00142863
-2.83E-05,-0.0000019,-8.13E-06,-1.06E-05,-0.000588095,-0.000913308,-9.70E-06,0.002969895,0.002964956,-2.63E-05,-2.79E-05,-9.02E-05,-2.46E-05,-9.81E-06,0.005308284,-1.03E-05,-0.0000275
-0.000610007,-0.00072,-0.000612578,-0.000641998,-0.003112691,0.002298203,-0.000610659,0.000791699,0.000794709,-0.000618404,-0.000630589,-0.000718985,-0.000610604,-0.000617801,-0.007232021,-0.000615063,-0.000379266
0.001030855,0.001161,0.001055146,0.001088889,-0.00156362,-0.003102802,0.001076499,-0.002600389,-0.002584483,0.001033902,0.001049628,0.001060651,0.001080648,0.000593268,-0.007181798,0.001077669,0
-0.009526872,-0.00983,-0.009597436,-0.009668897,-0.003300814,-0.010452585,-0.009622254,0.001588139,0.001553978,-0.009384946,-0.009684678,-0.009752457,-0.009628872,-0.009550011,0.001665789,-0.009605526,0.001033528
-0.001008514,-0.00088,-0.000993551,-0.000992581,0.005709192,-0.004590784,-0.001005564,0.002464456,0.00247874,-0.000981344,-0.001021054,-0.000892414,-0.000987996,-0.001011554,-6.65E-05,-0.000983641,-0.009666631
0.002641374,0.002572,0.002690674,0.002675519,0.0075671,-0.003886705,0.002666039,0.000547611,0.000554325,0.002600342,0.002669627,0.002720754,0.002714114,0.002641702,-0.004528586,0.002666605,-0.001019747
-0.003062827,-0.003,-0.003065929,-0.003075429,0.001678181,-0.003233036,-0.003087493,0.001601273,0.001627124,-0.003014058,-0.00310571,-0.002866516,-0.003054437,-0.003058103,0.002345677,-0.003083583,0.00266166
-7.09E-04,-7.30E-04,-6.73E-04,-7.00E-04,8.25E-04,-0.001604876,-6.67E-04,7.67E-05,7.31E-05,-6.71E-04,-7.08E-04,-7.46E-04,-7.04E-04,-1.12E-03,-3.80E-03,-0.000667769,-0.003112593
