ABSL ETF,ABSL Nifty50,Franklin India,HDFC Index,ICICI ETF,ICICI Nifty,IDBI Nifty,IDFC ETF,IDFC Nifty,LIC MF,Nippon,SBI Nifty,Tata Index,Taurus Nifty,UTI ETF,UTI Nifty,Nifty 50
-0.001224923,-0.001221519,-0.001151026,-0.00126994,-0.001274686,-0.004353623,-0.00120398,-0.001246209,-0.001263113,-0.001253587,-0.001253751,-0.001181209,-0.001260966,-0.001206413,-0.001292018,-0.001241578,-0.001281549
0.000158419,0.0002776,0.000164076,0.000154325,0.000149173,-0.001423589,0.000171433,0.000153064,0.000155369,0.000162125,0.000160752,0.000173603,0.000167865,0.000180114,0.00015099,0.000144523,0.000150023
0.002888721,0.002905042,0.00298192,0.002997809,0.002979899,0.000159873,0.00300854,0.002969895,0.002964956,0.002994468,0.002988958,0.002987538,0.003007317,0.002930348,0.002992576,0.002963192,0.002994862
0.000787965,0.000598142,0.000826379,0.000808096,0.000794048,-0.00300078,0.000864152,0.000791699,0.000794709,0.000858267,0.000824444,0.000775765,0.000837396,0.00085149,0.000799019,0.000799735,0.000796296
-0.002557678,-0.002577529,-0.002587332,-0.002614757,-0.002605496,-0.003538483,-0.002599958,-0.002600389,-0.002584483,-0.002591867,-0.00259879,-0.002598256,-0.002598278,-0.002567291,-0.00261882,-0.002574567,-0.00261967
0.001553072,0.001652641,0.001582031,0.00158393,0.001579679,-0.000694019,0.001601256,0.001588139,0.001553978,0.00158659,0.001575576,0.001602052,0.001561702,0.001526807,0.001578863,0.001574038,0.001580286
0.002436614,0.002324411,0.002483444,0.00248888,0.002486363,0.000720588,0.002512565,0.002464456,0.00247874,0.002511123,0.002491182,0.002474657,0.002509506,0.002476195,0.00249544,0.002449333,0.002491594
0.000534738,0.000573217,0.000595311,0.000559179,0.000547982,0.001014641,0.000633615,0.000547611,0.000554325,0.000610689,0.000594298,0.000573514,0.0005853,0.000609046,0.000548682,0.000572381,0.00054613
0.001574781,0.001744196,0.001632284,0.001626668,0.001625155,0.004555077,0.001647119,0.001601273,0.001627124,0.001634155,0.001627045,0.001650834,0.001636311,0.001651542,0.001625104,0.001595224,0.001625829
5.91E-05,-9.90E-05,9.59E-05,8.15E-05,7.92E-05,-0.002791877,9.50E-05,7.67E-05,7.31E-05,9.25E-05,8.90E-05,5.51E-05,8.98E-05,9.04E-05,8.04E-05,0.000114694,7.87E-05
-0.001508884,-0.001492684,-0.00154554,-0.00156075,-0.001566169,-0.001513927,-0.001540058,-0.001545085,-0.001554519,-0.001552708,-0.001547298,-0.001543411,-0.001549528,-0.001500102,-0.001566562,-0.001548754,-0.001566709
0.000772034,0.001026369,0.000819029,0.000811511,0.000810673,-0.000948754,0.000827006,0.000800381,0.000821318,0.000817067,0.000815942,0.000851343,0.000813714,0.000803534,0.000809489,0.000780293,0.00080884
-0.004533284,-0.004604979,-0.004605388,-0.004641114,-0.004658766,-0.003535244,-0.004598908,-0.004607227,-0.004639166,-0.004616683,-0.004600699,-0.004642138,-0.004645689,-0.00444453,-0.00466218,-0.004623103,-0.004668083
-0.004058176,-0.003912929,-0.004131348,-0.004139734,-0.004152188,-0.006462228,-0.004128934,-0.004121528,-0.004112521,-0.004138831,-0.004134194,-0.004108282,-0.004133713,-0.004111463,-0.004151462,-0.004147328,-0.0041567
-0.002041337,-0.002100419,-0.002066882,-0.002097174,-0.00210349,0.000888082,-0.002079838,-0.002075638,-0.002065874,-0.002095107,-0.002095758,-0.002102396,-0.002074066,-0.002029906,-0.002087919,-0.002085395,-0.002106484
0.000492268,0.000435541,0.000486997,0.000451117,0.000450837,0.002065578,0.000472727,0.000470971,0.000468968,0.000463022,0.000467027,0.00044621,0.00047282,0.000480772,0.000476174,0.000479916,0.000450696
0.001731545,0.001573198,0.001787587,0.001751471,0.001773659,-0.000692728,0.001800566,0.001791099,0.001763155,0.001793602,0.00178323,0.001755296,0.001819485,0.001812076,0.001783223,0.001778155,0.001774801
-0.000413887,-0.00041518,-0.000401154,-0.000446128,-0.000453597,-0.00212171,-0.000366737,-0.000440784,-0.000440884,-0.000397341,-0.000401585,-0.000429312,-0.000379885,-0.000326126,-0.00044299,-0.000438752,-0.000454872
7.86E-05,4.01E-05,9.38E-05,8.96E-05,8.66E-05,0.000273007,0.000110491,8.99E-05,8.08E-05,9.72E-05,9.83E-05,8.64E-05,9.02E-05,0.000101098,8.03E-05,8.34E-05,8.63E-05
-0.002264715,-0.002108137,-0.002264178,-0.002257617,-0.002265454,-0.00116512,-0.00224947,-0.002273223,-0.00225553,-0.002234047,-0.002254276,-0.002241925,-0.002273608,-0.002243887,-0.002285898,-0.002271966,-0.002230573
0.003387792,0.003240661,0.003456594,0.003470455,0.003473126,0.006046826,0.003491914,0.00344397,0.003422409,0.003464723,0.00348576,0.003455242,0.003445969,0.003446229,0.003463058,0.00344847,0.003475269
-0.001319538,-0.001315666,-0.001300333,-0.00132812,-0.001340023,-0.001792408,-0.001275093,-0.001309069,-0.001323763,-0.001304203,-0.001293247,-0.001323351,-0.001304172,-0.001212453,-0.001346943,-0.001344727,-0.001342625
-0.000125777,-0.000186402,-0.000114965,-0.000125203,-0.000127733,-0.003375302,-0.000107972,-0.000131761,-0.000129157,-0.000112379,-0.000115081,-0.000130354,-0.000113733,-0.00010615,-0.000128753,-0.000116424,-0.000130538
-0.004081368,-0.003903155,-0.004178146,-0.004187341,-0.004192431,-0.005433422,-0.004172697,-0.004163102,-0.00413571,-0.004177048,-0.004167212,-0.004149706,-0.0041811,-0.00406967,-0.004209023,-0.004170605,-0.00419589
-0.000665239,-0.000764557,-0.000672064,-0.000689925,-0.000692633,-0.000657718,-0.000668396,-0.000648247,-0.000682431,-0.000685602,-0.000680488,-0.000674364,-0.000696185,-0.000587924,-0.000699201,-0.000684118,-0.000696543
0.000959528,0.000997967,0.000954735,0.000994026,0.000990138,0.002009254,0.001009201,0.000934207,0.000949762,0.00100285,0.001003051,0.001001309,0.000993004,0.00093605,0.0009473,0.000938982,0.000992104
-0.001951343,-0.001975769,-0.001995779,-0.002039521,-0.002047114,-0.003533378,-0.001981383,-0.002010178,-0.002027142,-0.001997555,-0.00200656,-0.002023647,-0.00200618,-0.001922473,-0.002037168,-0.002027648,-0.002050921
-0.00301815,-0.003092205,-0.003044724,-0.003057853,-0.003060986,4.56E-05,-0.003036415,-0.00302096,-0.003015175,-0.003046673,-0.003046183,-0.003026251,-0.003061533,-0.002940942,-0.00306922,-0.003037205,-0.003062901
-0.000641282,-0.000603586,-0.000609967,-0.000613709,-0.000616064,0.002037236,-0.000594917,-0.000633011,-0.000605043,-0.000589751,-0.000566042,-0.000607893,-0.000591159,-0.000604115,-0.000622956,-0.000618958,-0.000615924
0.004253813,0.004334221,0.004392131,0.004408993,0.004411417,0.008821661,0.00442975,0.00432039,0.004348808,0.004423154,0.004393764,0.004409097,0.004415452,0.004311527,0.004386199,0.004375483,0.004412817
5.76E-05,-1.32E-05,8.74E-05,7.51E-05,7.15E-05,0.002474448,9.43E-05,6.35E-05,7.06E-05,8.52E-05,8.60E-05,6.52E-05,8.37E-05,-5.00E-06,7.50E-05,9.23E-05,7.14E-05
-0.000489486,-0.000349453,-0.000451317,-0.000465128,-0.000478801,0.003596959,-0.000409399,-0.000517674,-0.000464693,-0.000434089,-0.000454773,-0.000439575,-0.000452485,-0.000546897,-0.000492089,-0.00050248,-0.000476509
0.002350903,0.002412331,0.002414024,0.002408629,0.002403843,0.005801679,0.002424794,0.002408786,0.002371946,0.002406302,0.002412398,0.002405982,0.002410411,0.002460202,0.002412029,0.002415512,0.002403986
0.001104269,0.001150924,0.00115983,0.001150164,0.001143371,0.006467196,0.001166227,0.001118621,0.001130024,0.001166945,0.00116094,0.001148322,0.001168075,0.001135937,0.001146346,0.001132711,0.001186123
